t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
2.0,0.0,0.0,6.78247771935543,-2.566440483699501,0.5462794317914542,3.779158100547339,2.9069046721386584,-6.116970188272386,14.000000000000007,-3.513619483718578,-1.5201127157585e-14,10.987253584213937,-1.694644424787839e-12,-4.72018065190648,21.21752228064456,-2.566440483699501,-0.5462794317914659,3.7791581005473076,-2.9069046721363065,-6.116970188271932,28.0,0.0
2.0100000000000002,0.0,0.0,6.788071539449812,-2.5289528942895108,0.57290512702067,3.718143818367857,2.4062566907498777,-6.083302395531449,14.000000000000007,-3.4039936996209406,-3.265167650720666e-14,10.936903333603727,-1.7976731214730535e-12,-5.344376088829265,21.211928460550176,-2.528952894289511,-0.5729051270206569,3.718143818367831,-2.4062566907473553,-6.08330239553098,28.0,0.0
2.02,0.0,0.0,6.793910596521014,-2.4920747963204604,0.5943967739183624,3.657466697125898,1.8935234683622113,-6.0505821908303306,14.000000000000007,-3.294901280240845,-5.042297570668293e-14,10.880541077785747,-1.8545165403338615e-12,-5.9242174555535465,21.206089403478973,-2.4920747963204612,-0.5943967739183245,3.657466697125876,-1.8935234683595894,-6.050582190829858,28.0,0.0
2.0300000000000002,0.0,0.0,6.7999448261466915,-2.4558032223136927,0.6106782402960014,3.5971127627495467,1.3766375918735747,-6.020603855159054,14.000000000000005,-3.1864002793112554,-6.809975539150139e-14,10.81860027336874,-1.5063505998114124e-12,-6.460003065417009,21.200055173853297,-2.4558032223136936,-0.6106782402959392,3.5971127627495285,-1.3766375918713365,-6.020603855158655,28.0,0.0
2.04,0.0,0.0,6.8061217797379925,-2.420134981281471,0.6217698872544092,3.5370483048338754,0.8637380049876846,-5.994930905170221,14.000000000000005,-3.078544566171884,-8.503030124727303e-14,10.751510456348074,-1.4495071809506044e-12,-6.95246303657277,21.193878220261997,-2.420134981281472,-0.621769887254324,3.5370483048338612,-0.8637380049855778,-5.994930905169864,28.0,0.0
2.05,0.0,0.0,6.812386624539558,-2.385066658726971,0.6277885691837656,3.4772198766409255,0.36317191650679703,-5.974895577134769,14.000000000000005,-2.971383825769152,-1.0032645400973772e-13,10.679697242105712,-1.3820056210533949e-12,-7.402752435947831,21.187613375460433,-2.3850666587269718,-0.6277885691836594,3.4772198766409144,-0.3631719165048608,-5.974895577134473,28.0,0.0
2.06,0.0,0.0,6.818682143629524,-2.3505946166442806,0.6289476337636047,3.417554295099713,-0.1165031775701948,-5.961598933506072,14.000000000000004,-2.8649635586562074,-1.128636094647617e-13,10.603582325410235,-9.166001291305292e-13,-7.81244402616192,21.18131785637047,-2.350594616644282,-0.6289476337634807,3.4175542950997047,0.11650317757149509,-5.961598933505872,28.0,0.0
2.07,0.0,0.0,6.824959566951543,-2.3167168170857018,0.6255249546278473,3.357974714504566,-0.5679981306176032,-5.955622792063401,14.000000000000002,-2.7593255718611176,-1.2245650103604636e-13,10.523564724475413,-6.288303211476887e-13,-8.18361703835475,21.17504043304845,-2.316716817085703,-0.6255249546277093,3.35797471450456,0.5679981306185624,-5.955622792063248,28.0,0.0
2.08,0.0,0.0,6.831181915729434,-2.2834344550678347,0.617803212683883,3.298414172677129,-0.9857871332589738,-5.956982337936129,14.000000000000002,-2.654506349183148,-1.2968352067453717e-13,10.440012063914248,-5.719869022868806e-13,-8.518811193145947,21.168818084270562,-2.283434455067836,-0.6178032126837343,3.2984141726771243,0.9857871332598265,-5.956982337936008,28.0,0.0
2.09,0.0,0.0,6.837305876010924,-2.250748122270516,0.6061247964037635,3.2387967803528275,-1.363595226353418,-5.965658768541573,14.0,-2.550537950854488,-1.338644340003519e-13,10.353279819846078,-1.1723955140041653e-13,-8.820796710701854,21.162694123989073,-2.2507481222705175,-0.6061247964036077,3.2387967803528235,1.3635952263538016,-5.965658768541474,28.0,0.0
2.1,0.0,0.0,6.843293270301729,-2.218658867235359,0.590883689689917,3.1790538318175883,-1.6959372811382103,-5.98132011607245,13.999999999999998,-2.4474501593755047,-1.3455452565644958e-13,10.263687800866096,0.0,-9.092641316946874,21.156706729698268,-2.218658867235361,-0.5908836896897585,3.179053831817585,1.6959372811384839,-5.981320116072357,28.0,0.0
2.11,0.0,0.0,6.849111163084602,-2.1871682099176617,0.5725252712736871,3.119123951641788,-1.978137035467718,-6.003353437516224,13.999999999999996,-2.345270490107531,-1.3155717484317e-13,10.171519958289027,4.547473508864641e-13,-9.337656287556605,21.150888836915396,-2.1871682099176635,-0.5725252712735303,3.119123951641785,1.978137035467384,-6.0033534375161945,28.0,0.0
2.12,0.0,0.0,6.854731860819338,-2.156278141686393,0.5515463147153271,3.0589530946802306,-2.2063297573075396,-6.030899856546025,13.999999999999996,-2.244024191272832,-1.249238553182336e-13,10.077024386149091,5.080380560684716e-13,-9.559341527702113,21.14526813918066,-2.156278141686395,-0.5515463147151763,3.058953094680228,2.206329757307138,-6.030899856545991,28.0,0.0
2.13,0.0,0.0,6.8601329119427685,-2.125991125324207,0.5284949884040069,2.9984945460721684,-2.3774628497679053,-6.062889281147792,13.999999999999995,-2.1437342439546336,-1.149541353967427e-13,9.98041332120004,9.041656312547275e-13,-9.761331214711712,21.139867088057233,-2.1259911253242088,-0.5284949884038662,2.9984945460721653,2.3774628497668857,-6.062889281147822,28.0,0.0
2.14,0.0,0.0,6.86529710686877,-2.096310095027429,0.5039708555578049,2.9377089212412817,-2.4892944431862176,-6.0980744984458966,13.999999999999993,-2.0444213620970952,-1.0219567795117923e-13,9.88186314291512,1.2434497875801753e-12,-9.9473404781942,21.134702893131234,-2.0963100950274307,-0.5039708555576781,2.9377089212412786,2.4892944431848107,-6.098074498445931,28.0,0.0
2.15,0.0,0.0,6.870212477988253,-2.0672384564060677,0.47862487422371663,2.8765641658957,-2.5403900470608747,-6.135064365882773,13.999999999999993,-1.9461039925053405,-8.744424041140796e-14,9.781514373487115,1.4690471061840071e-12,-10.121113571057052,21.129787522011753,-2.06723845640607,-0.4786248742236068,2.876564165895697,2.54039004705902,-6.135064365882854,28.0,0.0
2.16,0.0,0.0,6.874872355273357,-2.038780079860454,0.4531573489742904,2.8150355963603713,-2.530124792632229,-6.172355012242651,13.999999999999991,-1.8487983531515575,-7.174386687999196e-14,9.679472097899474,1.4654943925052066e-12,-10.286373633488232,21.125127644726646,-2.0387800798604556,-0.45315734897419957,2.815035596360367,2.5301247926305948,-6.172355012242654,28.0,0.0
